,Actor,Count,Rank
833,吉娜·卡拉诺,2,3
834,布里安娜·希德布兰德,1,3
835,斯蒂芬·卡皮契奇,1,3
836,莱斯利·格塞斯,1,3
837,杰德·瑞斯,1,3
838,卡兰·索尼,1,3
839,汤米·李·琼斯,5,3
840,雨果·维文,13,2
841,多米尼克·库珀,2,3
842,理查德·阿米蒂奇,4,3
843,尼尔·麦克唐纳,1,3
844,德里克·卢克,1,3
845,肯尼斯·崔,1,3
846,约翰·约瑟夫·菲尔德,1,3
847,安迪·加西亚,1,3
848,埃里·瓦拉赫,1,3
849,乔·曼特纳,1,3
850,乔治·汉密尔顿,1,3
851,布里吉特·芳达,1,3
852,索菲亚·科波拉,1,3
853,雷夫·瓦朗,1,3
854,弗兰克·德安布罗西奥,1,3
855,敦尔·当纳利,1,3
856,理查德·布赖特,3,3
857,赫尔穆特·贝格,1,3
858,唐·诺韦洛,1,3
859,乔芝·韩莉,1,3
860,斯堪德·凯恩斯,1,3
861,威廉·莫斯里,1,3
862,安娜·帕波维尔,1,3
863,蒂尔达·斯文顿,5,3
864,连姆·尼森,6,3
865,雷·温斯顿,2,3
866,彭于晏,10,3
867,吴佩慈,2,3
868,蒋劲夫,1,3
869,林依晨,1,3
870,王阳明,1,3
871,陈匡怡,1,3
872,陆明君,1,3
873,黄志玮,1,3
874,孟耿如,1,3
875,林美秀,2,3
876,罗北安,2,3
877,应蔚民,2,3
878,殷琦,1,3
879,金士杰,8,3
880,李维维,2,3
881,余函弥,1,3
882,许豪恩,1,3
883,曾之乔,1,3
884,布拉德·皮特,8,3
885,黛安·克鲁格,2,3
886,朱利安·格洛弗,1,3
887,布莱恩·考克斯,6,3
888,内森·琼斯,2,3
889,艾瑞克·巴纳,3,3
890,雅各布·史密斯,1,3
891,彼得·奥图尔,3,3
892,周润发,8,3
893,周杰伦,3,3
894,陈瑾,2,3
895,李曼,2,3
896,秦俊杰,1,3
897,汤姆·克鲁斯,6,3
898,丽贝卡·弗格森,1,3
899,西恩·哈里斯,2,3
900,西蒙·迈克伯尼,1,3
901,汤姆·霍兰德,4,3
902,延斯·赫尔腾,1,3
903,亚历克·鲍德温,2,3
904,亚历克·乌特戈夫,1,3
905,赫敏·科菲尔德,1,3
906,阿美莉嘉·奥利沃,1,3
907,拉斯科·阿特金斯,1,3
908,肖恩·克罗宁,1,3
909,明格斯·约翰斯顿,1,3
910,古力娜扎,1,3
911,栾元晖,1,3
912,秦越,1,3
913,许可嘉,1,3
914,梁超,3,3
915,赵曼竹,1,3
916,孙俪,2,3
917,柳岩,4,3
918,谢楠,2,3
919,朱莉娅·奥蒙德,2,3
920,艾丹·奎因,2,3
921,卡琳娜·隆巴德,1,3
922,亨利·托马斯,2,3
923,马特·达蒙,8,3
924,杰夫·丹尼尔斯,2,3
925,凯特·玛拉,3,3
926,肖恩·宾,4,3
927,唐纳德·格洛弗,1,3
928,切瓦特·埃加福特,3,3
