type,status,isSend,content,content2,talkerId
1,3,0,wxid_1252782525412,见面发包,1569
1,3,0,kuaful,上次汉庭的事情怎么说,1569
1,3,0,wxid_1252782525412,可以下次元和来解决,1569
1,3,0,wxid_1252782525412,明天开始本人要回去辅导涵涵作业了，毕竟嗯是高级中学的教师,1569
1,3,0,kuaful,“回去”两个字很重要,1569
1,3,0,kuaful,小心中了张陈氏的奸计,1569
1,3,0,kuaful,你充其量也只是木渎中学的,1569
1,3,0,wxid_1252782525412,回去两字需要修正,1569
1,3,0,wxid_1252782525412,是“早回去”,1569
1,3,0,kuaful,陈张氏你好@小心我来了,1569
3,2,1,,,1569
1,3,0,kuaful,@小心我来了刁德一精死了,1569
1,3,0,kuaful,眼珠子直转,1569
43,3,0,q32444005,0,1569
3,3,0,q32444005,,1569
